wavelength_micron,total_depth_ppm,aerosols_depth_ppm,rayleigh_plus_cia_depth_ppm,molecule_H2O_depth_ppm,molecule_CO_depth_ppm,molecule_CO2_depth_ppm,molecule_CH4_depth_ppm,molecule_NH3_depth_ppm
6.936581366979820418e-01,2.770191096864890824e+03,2.762562370606226068e+03,2.527913887917307875e+03,2.627194954251826857e+03,2.322045909667347132e+03,2.322045867864474531e+03,2.322045863941310017e+03,2.326001120682642068e+03
6.943521417793587780e-01,2.771436033706613216e+03,2.762545089598054346e+03,2.527635006705131673e+03,2.631595145618224251e+03,2.322045901727085038e+03,2.322045867423515119e+03,2.322045863941310017e+03,2.326092348534050416e+03
6.950468412129364726e-01,2.769146216654508862e+03,2.762527855800253747e+03,2.527356097590838999e+03,2.616049714353860509e+03,2.322045909626841876e+03,2.322045867878728131e+03,2.322045863941310017e+03,2.326281612466353181e+03
6.957422356934136465e-01,2.769070874833727885e+03,2.762510669163096281e+03,2.527077159978725831e+03,2.620540216276438059e+03,2.322045908551041521e+03,2.322045869817654875e+03,2.322045863941310017e+03,2.326343265183525091e+03
6.964383259161847084e-01,2.766983642136591243e+03,2.762493529636305539e+03,2.526798193876356436e+03,2.612703109646182384e+03,2.322045903738206107e+03,2.322045866824586938e+03,2.322045863941310017e+03,2.326407608499270737e+03
6.971351125773397328e-01,2.765411225017242487e+03,2.762476437169058954e+03,2.526519199547974495e+03,2.603109871505347655e+03,2.322045908217597116e+03,2.322045866714576732e+03,2.322045863941310017e+03,2.326432738021932437e+03
6.978325963736651261e-01,2.766010537281269990e+03,2.762459391709992360e+03,2.526240177115609185e+03,2.606378639624692369e+03,2.322045907176187029e+03,2.322045866439083511e+03,2.322045863941310017e+03,2.326401051953761907e+03
6.985307780026457358e-01,2.767040089604711739e+03,2.762442393207201803e+03,2.525961126422369034e+03,2.605845937064309055e+03,2.322045902682359156e+03,2.322045866215318256e+03,2.322045863941310017e+03,2.326481140202492497e+03
6.992296581624635188e-01,2.768644188196303730e+03,2.762425441608249912e+03,2.525682047724457334e+03,2.617877540610437791e+03,2.322045915823774521e+03,2.322045865961623349e+03,2.322045863941310017e+03,2.326545972187295774e+03
6.999292375519964304e-01,2.768986087020708510e+03,2.762408536860176810e+03,2.525402940753972871e+03,2.624818192779313449e+03,2.322045923844856134e+03,2.322045865905151459e+03,2.322045863941310017e+03,2.326491027730488440e+03
7.006295168708239762e-01,2.770633393308664836e+03,2.762391678909495113e+03,2.525123805943345360e+03,2.631587181625077392e+03,2.322045921940280550e+03,2.322045866025203395e+03,2.322045863941310017e+03,2.326556928763489395e+03
7.013304968192271005e-01,2.768777134118553022e+03,2.762374867702198117e+03,2.524844643182547316e+03,2.619472379559202182e+03,2.322045883423409123e+03,2.322045865754331771e+03,2.322045863941310017e+03,2.326848634752665930e+03
7.020321780981851889e-01,2.770460509629291209e+03,2.762358103183768435e+03,2.524565453368906674e+03,2.623356005173242011e+03,2.322045895967085471e+03,2.322045865637369388e+03,2.322045863941310017e+03,2.327287058122341023e+03
7.027345614093803983e-01,2.769775762761999886e+03,2.762341385299179819e+03,2.524286235793684227e+03,2.642887589464369739e+03,2.322045881173842645e+03,2.322045865789839354e+03,2.322045863941310017e+03,2.327175661188725371e+03
