panel,sweep,level,species,point_index,x,value
b,temperature_melt,surface,CH4,8,2799.8090330442556,-2.097362599947248
b,temperature_melt,surface,CH4,9,2900.028645356242,-2.043936768172511
b,temperature_melt,surface,CH4,10,3000.248257668229,-2.000478442325896
b,temperature_melt,surface,CH4,11,3099.9713546437574,-1.9673863226445292
b,temperature_melt,surface,CH4,12,3200.1909669557444,-1.9392779533755409
b,temperature_melt,surface,CH4,13,3299.952257869963,-1.913761138199547
b,temperature_melt,surface,CH4,14,3400.17187018195,-1.8908358771165474
b,temperature_melt,surface,CH4,15,3499.8949671574783,-1.8703028174562952
b,temperature_melt,surface,CH4,16,3600.114579469465,-1.8525606543525566
b,temperature_melt,surface,CH4,17,3699.8376774227454,-1.834619143681934
b,temperature_melt,surface,CH4,18,3800.0572897347324,-1.8192691871043074
b,temperature_melt,surface,CH4,19,3899.7803876880134,-1.801527024000567
b,temperature_melt,surface,CH4,20,4000.0,-1.78876861641257
b,temperature_melt,surface,N2,0,2000.0,-2.9753005220962905
b,temperature_melt,surface,N2,1,2100.2196123119866,-3.0263341524482783
b,temperature_melt,surface,N2,2,2199.9809032262056,-3.130793614575003
b,temperature_melt,surface,N2,3,2300.200515538192,-3.3221697283949583
b,temperature_melt,surface,N2,4,2399.9236125137204,-3.6283715105068843
b,temperature_melt,surface,N2,5,2500.1432248257074,-4.029065248817415
b,temperature_melt,surface,N2,6,2599.866322778988,-4.465442655798943
b,temperature_melt,surface,N2,7,2700.085935090975,-4.894045415811579
b,temperature_melt,surface,N2,8,2799.8090330442556,-5.302314458627482
b,temperature_melt,surface,N2,9,2900.028645356242,-5.682475132174398
b,temperature_melt,surface,N2,10,3000.248257668229,-6.037318343215564
b,temperature_melt,surface,N2,11,3099.9713546437574,-6.369036940503485
b,temperature_melt,surface,N2,12,3200.1909669557444,-6.677630924038162
b,temperature_melt,surface,N2,13,3299.952257869963,-6.9660905430463504
b,temperature_melt,surface,N2,14,3400.17187018195,-7.23660865648728
b,temperature_melt,surface,N2,15,3499.8949671574783,-7.491776808247219
b,temperature_melt,surface,N2,16,3600.114579469465,-7.729003449336538
b,temperature_melt,surface,N2,17,3699.8376774227454,-7.9534716828378595
b,temperature_melt,surface,N2,18,3800.0572897347324,-8.165380856318066
b,temperature_melt,surface,N2,19,3899.7803876880134,-8.364332279746757
b,temperature_melt,surface,N2,20,4000.0,-8.553116839473718
b,temperature_melt,surface,NH3,0,2000.0,-3.403903277005563
b,temperature_melt,surface,NH3,1,2100.2196123119866,-3.082351538316008
b,temperature_melt,surface,NH3,2,2199.9809032262056,-2.860474853804317
b,temperature_melt,surface,NH3,3,2300.200515538192,-2.755816039007348
b,temperature_melt,surface,NH3,4,2399.9236125137204,-2.7787413051937113
b,temperature_melt,surface,NH3,5,2500.1432248257074,-2.9037338320840504
b,temperature_melt,surface,NH3,6,2599.866322778988,-3.090126190388263
b,temperature_melt,surface,NH3,7,2700.085935090975,-3.299244467311957
b,temperature_melt,surface,NH3,8,2799.8090330442556,-3.5135458422149126
b,temperature_melt,surface,NH3,9,2900.028645356242,-3.7280465697881118
b,temperature_melt,surface,NH3,10,3000.248257668229,-3.932181091196063
b,temperature_melt,surface,NH3,11,3099.9713546437574,-4.12854096053176
b,temperature_melt,surface,NH3,12,3200.1909669557444,-4.31234176474298
b,temperature_melt,surface,NH3,13,3299.952257869963,-4.488367921985306
b,temperature_melt,surface,NH3,14,3400.17187018195,-4.6542272206292665
b,temperature_melt,surface,NH3,15,3499.8949671574783,-4.809919660674861
b,temperature_melt,surface,NH3,16,3600.114579469465,-4.957837453751564
b,temperature_melt,surface,NH3,17,3699.8376774227454,-5.095588383126538
b,temperature_melt,surface,NH3,18,3800.0572897347324,-5.2257640130995
b,temperature_melt,surface,NH3,19,3899.7803876880134,-5.350756534886477
b,temperature_melt,surface,NH3,20,4000.0,-5.468173757271443
b,temperature_melt,base,H2,0,2000.0,-1.2375655360357065
b,temperature_melt,base,H2,1,2100.2196123119866,-0.9313637539237796
b,temperature_melt,base,H2,2,2199.9809032262056,-0.6863624607622079
b,temperature_melt,base,H2,3,2300.200515538192,-0.49757789593188306
b,temperature_melt,base,H2,4,2399.9236125137204,-0.36221916797966003
b,temperature_melt,base,H2,5,2500.1432248257074,-0.27051811344093046
b,temperature_melt,base,H2,6,2599.866322778988,-0.20911827692369478
b,temperature_melt,base,H2,7,2700.085935090975,-0.16845085273695481
b,temperature_melt,base,H2,8,2799.8090330442556,-0.1429340375609609
b,temperature_melt,base,H2,9,2900.028645356242,-0.12499252689034002
b,temperature_melt,base,H2,10,3000.248257668229,-0.1148256682919726
b,temperature_melt,base,H2,11,3099.9713546437574,-0.10705101621971913
b,temperature_melt,base,H2,12,3200.1909669557444,-0.10206726070397565
b,temperature_melt,base,H2,13,3299.952257869963,-0.0994757117143461
b,temperature_melt,base,H2,14,3400.17187018195,-0.09688416272471656
b,temperature_melt,base,H2,15,3499.8949671574783,-0.09429260863172217
b,temperature_melt,base,H2,16,4000.0,-0.09429260863172217
b,temperature_melt,base,H2O,0,2000.0,-0.03827522276399087
b,temperature_melt,base,H2O,1,2100.2196123119866,-0.06877579345572826
b,temperature_melt,base,H2O,2,2199.9809032262056,-0.12758407587996956
b,temperature_melt,base,H2O,3,2300.200515538192,-0.21170983101668917
b,temperature_melt,base,H2O,4,2399.9236125137204,-0.3239439452156674
b,temperature_melt,base,H2O,5,2500.1432248257074,-0.45671112417826265
b,temperature_melt,base,H2O,6,2599.866322778988,-0.5996451566358569
b,temperature_melt,base,H2O,7,2700.085935090975,-0.7449713956195687
b,temperature_melt,base,H2O,8,2799.8090330442556,-0.8930885311597887
b,temperature_melt,base,H2O,9,2900.028645356242,-1.0334310146277552
b,temperature_melt,base,H2O,10,3000.248257668229,-1.1636066446007192
b,temperature_melt,base,H2O,11,3099.9713546437574,-1.2834160684084335
b,temperature_melt,base,H2O,12,3200.1909669557444,-1.3932579811846644
b,temperature_melt,base,H2O,13,3299.952257869963,-1.490142138806016
b,temperature_melt,base,H2O,14,3400.17187018195,-1.5742678888393709
