reference_contract,paper_figure,paper_page,paper_panel,case_id,include_sio_s,quantity,segment_index,transport_regime,point_index,vector_x,vector_y,log10_pressure_bar,pressure_bar,temperature_k
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,4,non_convective,13,133.378459,36.708504,1.8742487326940105,74.85981210073207,1000.7388536210262
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,4,non_convective,14,173.6904,36.686992,0.14147017773412515,1.3850650725882319,1000.0
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,4,non_convective,15,246.702911,36.686992,-2.996917857329051,0.0010071221384128554,1000.0
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,0,non_convective,0,265.776152,124.033116,5.3161275179212915,207074.92747293352,4000.0
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,0,non_convective,1,265.876537,123.377025,5.311741230449546,204994.03806235414,3977.4658232115717
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,0,non_convective,2,265.976923,122.717349,5.3073548992831485,202934.03902645808,3954.8085156016773
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,0,non_convective,3,266.077308,122.061258,5.302968611811401,200894.76127318345,3932.2743388132485
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,0,non_convective,4,266.174109,121.405167,5.298738925966379,198947.70149267625,3909.7401620248197
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,0,non_convective,5,266.274494,120.749076,5.294352638494631,196948.4823194638,3887.2059852363914
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,0,non_convective,6,266.37488,120.0894,5.289966307328234,194969.33362063245,3864.548677626497
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,0,non_convective,7,266.57565,118.777219,5.281193732384741,191070.54060833203,3819.480358395754
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,0,non_convective,8,266.676036,118.117543,5.276807401218343,189150.45974567952,3796.82305078586
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,0,non_convective,9,266.776421,117.461452,5.272421113746595,187249.69274556704,3774.2888739974314
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,0,non_convective,10,266.873222,116.801776,5.2681914279015745,185434.8801374803,3751.631566387537
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,0,non_convective,11,267.073993,115.482424,5.259418809263431,181726.7288798381,3706.3169511677474
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,0,267.174378,114.822748,5.255032521791684,179900.56271689275,3683.659643557853
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,1,267.274764,114.518006,5.250646190625285,178092.72972205555,3673.192939849283
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,2,267.375149,114.21685,5.246259903153538,176303.08150195229,3662.849401308293
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,3,267.475535,113.919279,5.241873571987142,174531.39984061095,3652.6289935887717
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,4,267.572335,113.618122,5.237643929836769,172839.86954163155,3642.285420701667
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,5,267.873491,112.725408,5.224485023726878,167681.4511239792,3611.6241631969842
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,6,267.973877,112.431422,5.22009869256048,165996.40881290485,3601.526886298927
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,7,268.074262,112.133851,5.215712405088735,164328.3161398403,3591.306478579405
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,8,268.275033,111.545879,5.206939786450589,161042.23397607193,3571.111924783291
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,9,268.371834,111.255478,5.202710100605568,159481.42246087542,3561.1377787067004
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,10,268.472219,110.961492,5.19832381313382,157878.79868003866,3551.040501808644
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,11,268.773375,110.09029,5.185164907023929,153166.89450522224,3521.1180979249866
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,12,268.974146,109.516658,5.176392288385784,150104.00788935085,3501.4160674147374
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,13,269.070947,109.229843,5.172162602540762,148649.2089946357,3491.565086505728
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,14,269.271718,108.656211,5.163389983902617,145676.66277856016,3471.8630559954786
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,15,269.67326,107.523289,5.145844746626328,139908.70817722377,3432.951586953074
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,16,269.77006,107.243644,5.1416151044759575,138552.7354457335,3423.346867686997
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,17,269.870445,106.960414,5.1372288170042095,137160.42338017118,3413.6190175994534
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,18,270.071216,106.401123,5.128456198366067,134417.61902708083,3394.409544721183
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,19,270.171602,106.125063,5.124069867199668,133066.8472279563,3384.927956276572
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,20,270.271987,105.845418,5.119683579727921,131729.66267995187,3375.323237010494
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,21,270.472758,105.293298,5.110910961089777,129095.45754026457,3356.3600601212706
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,22,270.569559,105.017238,5.106681275244754,127844.27223493386,3346.87847167666
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,1,convective,23,271.071486,103.654863,5.084749750496719,121548.54108721553,3300.086183560933
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,2,non_convective,0,271.171871,103.385974,5.080363463024972,120327.10363408439,3290.850891105368
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,2,non_convective,1,271.268672,102.851779,5.076133777179951,119160.90068032862,3272.503368323475
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,2,non_convective,2,271.569828,101.259953,5.06297487107006,115604.53497394631,3217.8303298266555
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,2,non_convective,3,271.670214,100.725758,5.058588539903662,114442.81713647851,3199.4828070447643
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,2,non_convective,4,271.870985,99.66454,5.049815921265516,112154.2979755838,3163.0340918161405
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,2,non_convective,5,271.967785,99.130346,5.045586279115145,111067.31653064268,3144.686603380363
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,3,convective,0,272.06817,98.599737,5.041199991643397,109951.20457227713,3126.4622457660516
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,3,convective,1,275.065394,91.199893,4.910237337051383,81327.48403001609,2872.3063544296483
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,3,convective,2,278.062618,84.395192,4.77927468245937,60155.40879595083,2638.591312878405
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,3,convective,3,281.059841,78.14261,4.648312071562006,44495.08815678425,2423.839413870271
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,3,convective,4,284.057065,72.399127,4.51734941696999,32911.63189673164,2226.573087547651
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,3,convective,5,287.054288,67.121719,4.386386806072629,24343.712260289514,2045.3146266684942
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,3,convective,6,290.148312,62.120371,4.251194509330243,17831.772278544446,1873.5377542339488
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,3,convective,7,293.245921,57.538491,4.11584556726648,13057.065035060097,1716.167977871577
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,3,convective,8,296.343531,53.343812,3.9804965815080697,9560.851692914533,1572.0970514959542
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,3,convective,9,298.641641,50.457729,3.8800814686755105,7587.198888502499,1472.9713135296079
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,4,non_convective,0,298.742027,50.339418,3.8756951375091124,7510.954610653236,1468.907790344538
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,4,non_convective,1,301.040137,47.73298,3.7752800246765528,5960.463387981802,1379.386771644269
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,4,non_convective,2,303.237862,45.571107,3.6792511993157415,4778.055602096513,1305.1348334586662
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,4,non_convective,3,305.435587,43.717561,3.58322237395493,3830.2081315956148,1241.4727298030994
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,4,non_convective,4,307.633312,42.158001,3.487193548594118,3070.390040020476,1187.9079030455891
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,4,non_convective,5,309.827452,40.878086,3.3913213685546806,2462.188896913035,1143.9477955541568
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,4,non_convective,6,312.025177,39.84555,3.2952925431938693,1973.7518186985428,1108.484195589492
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,4,non_convective,7,314.423673,38.974347,3.190491099194912,1550.5690077721358,1078.56175735972
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,4,non_convective,8,317.02294,38.275234,3.076917036557812,1193.760038241181,1054.5499420214685
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,4,non_convective,9,319.919778,37.726699,2.950340713132195,891.9504175346808,1035.709895953712
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,4,non_convective,10,323.415343,37.307231,2.79760322280817,627.4848184136719,1021.3027998815381
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,4,non_convective,11,327.911179,37.00249,2.601159240920149,399.171237961277,1010.8361305190831
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,4,non_convective,12,334.403968,36.812474,2.3174590960041095,207.71080840775127,1004.3098191741171
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,4,non_convective,13,346.389278,36.722844,1.7937651666520793,62.196388357358344,1001.2313769068908
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,4,non_convective,14,397.636065,36.708504,-0.4454452710167498,0.35855412975452694,1000.7388536210262
published_vector_plot_digitization,2,8,right,figure2_mg_si_o_1_1_4,false,temperature,4,non_convective,15,456.074756,36.708504,-2.9989034390557254,0.001002528115191211,1000.7388536210262
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,temperature,0,non_convective,0,265.743885,124.033116,5.1835696623258585,152605.31593422272,4000.0
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,temperature,0,non_convective,1,265.944656,122.842831,5.174938341277357,149602.32439306,3959.118334775794
