reference_contract,paper_figure,paper_page,paper_panel,case_id,include_sio_s,quantity,species,segment_index,transport_regime,point_index,vector_x,vector_y,log10_pressure_bar,pressure_bar,log10_mixing_ratio,mixing_ratio
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,17,383.919107,320.268804,0.1031134158567184,1.2679829559430165,-3.77122256810618,0.0001693469705277382
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,18,387.271265,321.147177,-0.04099879110195824,0.9099158054618183,-3.6002790761640533,0.00025102728202971053
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,19,390.519452,321.767415,-0.18064119375257268,0.659718717826759,-3.4795722129576427,0.0003314574516512827
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,20,394.072381,322.215565,-0.3333847217597503,0.46410396444222407,-3.392356046347486,0.00040517622483459266
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,21,398.338764,322.509551,-0.5168002617972363,0.30422838935599955,-3.3351423188967444,0.0004622295233294601
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,22,404.326041,322.68164,-0.7741985413959052,0.16819049881979392,-3.3016514276867084,0.0004992850615688051
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,23,416.103409,322.753344,-1.2805179018331199,0.052418199352236995,-3.2876968410290814,0.0005155884251481658
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,2,non_convective,24,456.006637,322.7641,-2.995992605547933,0.0010092700701209993,-3.2856035751849326,0.0005180795201370342
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,0,265.743885,327.242009,5.1835696623258585,152605.31593422272,-2.414140767176184,0.003853534334287428
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,1,265.844271,327.173891,5.17925398030617,151096.35243294627,-2.4273974688098963,0.0037376835673808557
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,2,265.944656,327.109357,5.174938341277357,149602.32439306,-2.439956674647279,0.003631142773566384
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,3,266.048627,327.041238,5.170468536969295,148070.4979776408,-2.4532135708947727,0.003521976299256665
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,4,266.149012,326.97312,5.166152897940482,146606.3893324193,-2.466470272528496,0.003416093330558154
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,5,266.249398,326.901416,5.161837215920796,145156.7433014005,-2.4804248591861233,0.003308073427719731
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,6,266.353368,326.833297,5.157367454603611,143670.45084552246,-2.493681755433617,0.0032086196922481458
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,7,266.554139,326.689889,5.148736133555108,140843.280992605,-2.5215909287488714,0.00300890912406003
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,8,266.65811,326.618185,5.144266329247047,139401.14124555205,-2.5355455154064988,0.002913764747200308
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,9,266.758495,326.542896,5.139950690218236,138022.7544714217,-2.550197792474248,0.0028170996360952095
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,10,266.858881,326.471192,5.135635008198547,136657.98354212596,-2.564152379131875,0.002728020445472674
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,H,0,non_convective,11,266.959266,326.395903,5.131319369169734,135306.72088092534,-2.5788046561996247,0.0026375174631327364
